fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
1958538,Bi-Lo Inc.,SE GROCERS,,38259125670,"SUGAR, GELATIN, CONTAINS 2% OR LESS OF ADIPIC ACID (FOR TARTNESS), SODIUM CITRATE (CONTROLS ACIDITY), FUMARIC ACID (FOR TARTNESS), MALTODEXTRIN, ARTIFICIAL FLAVORS, SALT, RED 40, DIMETHYLPOLYSILOXANE (PREVENTS FOAM), BLUE 1.",,21.0,g,,"Gelatin, Gels, Pectins & Desserts",LI,3 oz/85 g,2018-12-07,2021-07-29,United States,,,,
1958580,"Goya Foods, Inc. ",GOYA,,41331021241,"SOURSOP, SUGAR, WATER, CITRIC ACID, PRESERVATIVE (POTASSIUM SORBATE AND SODIUM BENZOATE).","NOT A SIGNIFICANT SOURCE OF TRANS FAT, CHOLEST AND VIT. D.",140.0,g,,Syrups & Molasses,LI,18.5 oz/525 g,2018-11-01,2021-07-29,United States,,,,
1960467,"Safeway, Inc.",WATERFRONT BISTRO,,21130125715,"GULF SHRIMP (FARFANTEPENAEUS AZTECUS), WATER, SALT, SODIUM BISULFITE (PRESERVATIVE).",,113.0,g,,Frozen Fish & Seafood,LI,16 oz/1 lbs/453 g,2020-07-29,2021-07-29,United States,,,,
1960471,Smart & Final Iris Corporation,FIRST STREET,,41512154478,"HIGH FRUCTOSE CORN SYRUP, WATER, LESS THAN 2% OF: HIBISCUS EXTRACT (EXTRACTIVES OF HIBISCUS, FILTERED WATER), CITRIC ACID, NATURAL & ARTIFICIAL FLAVOR, SODIUM BENZOATE (PRESERVATIVE), FD&C RED #40.",,49.0,g,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",LI,64 fl oz/1/2 GAL/1.89 L,2021-05-27,2021-07-29,United States,,,,
1961058,"Wegmans Food Markets, Inc. ",WEGMANS,KETTLE COOKED,77890459805,"POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN, SUNFLOWER, OR CANOLA OIL), WHEY, SEA SALT, BLACK PEPPER, NATURAL FLAVOR, CITRIC ACID, YEAST EXTRACT.",,36.0,g,,"Chips, Pretzels & Snacks",LI,1.3 oz/36 g,2018-12-12,2021-07-29,United States,,,,
1961814,"Schnuck Markets, Inc.",SCHNUCKS,,41318581959,"CHEDDAR CHEESE (CULTURED PASTEURIZED MILK, SALT, ENZYMES, COLOR ADDED).",,28.0,g,,Cheese,LI,8 oz/226 g,2018-12-07,2021-07-29,United States,,,,
1962129,Project healthy Living Inc.,ALOHA,,842096122378,"COCONUT MILK (WATER, COCONUT CREAM*), PROTEIN BLEND* (PEA PROTEIN*, BROWN RICE PROTEIN*), COCONUT SUGAR*, ACACIA FIBER*, COCONUT WATER*, NATURAL FLAVOR, POTASSIUM CITRATE, SUNFLOWER LECITHIN*, GELLAN GUM, MONK FRUIT EXTRACT*, MEDIUM CHAIN TRIGLYCERIDES (MCT) FROM COCONUT OIL*",,330.0,ml,,Plant Based Milk,LI,44 fl oz/1.32 L,2021-05-05,2021-07-29,United States,,,,
1962330,D'Artagnan Inc.,D'ARTAGNAN,,736622103859,"INGREDIENTS: PORK, WATER, PAPRIKA, NONFAT DRY MILK, SALT, TURBINADO SUGAR, NATURAL FLAVORINGS, SPICES.","Not a significant source of dietary fiber, sugar,vitamin A and C, calcium and iron.",56.0,g,,Cooked & Prepared,LI,12 oz/340 g,2020-08-26,2021-07-29,United States,,,,
1963480,"Schnuck Markets, Inc.",SCHNUCKS,,41318180435,"CARBONATED WATER, NATURAL FLAVOR.","NOT A SIGNIFICANT SOURCE OF SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, VITAMIN D, CALCIUM, IRON, AND POTASSIUM.",360.0,ml,,Water,LI,144 fl oz/4.3 L,2019-01-19,2021-07-29,United States,,,,
1963682,"Shullsburg Creamery II, LLC",SHULLSBURG CREAMERY,,26542011755,"PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES, POTATO STARCH AND POWDERED CELLULOSE ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR).",,28.0,g,,Cheese,LI,8 oz/227 g,2019-01-19,2021-07-29,United States,,,,
