date,open,high,low,close,volume,vwap,transactions
2024-08-14,36.96,37.1199,36.44,36.57,454080.0,36.6375,7652
2024-08-15,37.35,37.91,37.29,37.83,498471.0,37.7122,10954
2024-08-16,37.48,37.89,37.33,37.55,534264.0,37.6061,10351
2024-08-19,37.3,38.92,37.1302,38.8,740037.0,38.4802,13616
2024-08-20,38.72,39.05,37.45,37.51,399975.0,37.9331,7904
2024-08-21,37.79,38.19,37.05,37.37,474393.0,37.3736,9442
2024-08-22,37.45,37.59,36.71,37.07,377679.0,37.1848,10047
2024-08-23,37.56,38.555,37.05,38.49,495073.0,38.0104,9804
2024-08-26,38.41,38.96,37.89,38.33,384289.0,38.3102,9089
2024-08-27,38.35,38.42,37.71,37.94,407894.0,37.9389,8790
2024-08-28,37.93,37.94,37.02,37.15,321320.0,37.2585,6629
2024-08-29,37.61,38.19,37.5025,37.85,361603.0,37.8617,8695
2024-08-30,38.02,38.045,37.605,37.81,692610.0,37.8117,9482
2024-09-03,37.41,37.925,36.6,36.64,598233.0,36.9457,11556
2024-09-04,36.51,36.78,35.66,36.71,912839.0,36.4419,16122
2024-09-05,36.66,37.02,35.89,36.18,435875.0,36.3273,9431
2024-09-06,36.25,36.34,34.65,34.76,481498.0,34.9268,10388
2024-09-09,34.62,34.8582,34.29,34.7,898272.0,34.5797,17319
2024-09-10,34.67,34.78,33.61,33.75,663471.0,33.8339,12128
2024-09-11,33.52,34.079,33.15,34.01,496794.0,33.7942,9163
2024-09-12,34.39,34.58,33.23,33.28,443482.0,33.6269,9042
2024-09-13,33.87,34.4,33.69,34.21,543580.0,34.0758,9538
2024-09-16,33.99,34.65,33.76,34.56,736338.0,34.2426,11971
2024-09-17,34.78,34.78,34.06,34.24,473080.0,34.3026,9345
2024-09-18,33.96,34.98,33.5,33.83,483498.0,33.9342,9739
2024-09-19,34.81,35.0,34.24,34.35,686968.0,34.5129,10837
2024-09-20,33.81,35.28,33.57,35.2,1478046.0,34.8437,14036
2024-09-23,35.22,35.82,34.83,35.78,1045339.0,35.3266,16594
2024-09-24,36.03,36.79,35.74,36.27,809935.0,36.2244,13189
2024-09-25,36.33,36.33,34.92,35.5,720295.0,35.3195,11452
2024-09-26,36.2,37.14,35.35,37.0,652069.0,36.4448,11873
